___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   7   4 -167.00  -83.00        1.8625
   8   4 -165.00  -83.00        1.8625
   9   4 -163.00  -83.00        1.8625
  10   4 -161.00  -83.00        1.8625
  11   4 -159.00  -83.00        1.8625
  12   4 -157.00  -83.00        1.8625
  13   4 -155.00  -83.00        1.8625
  14   4 -153.00  -83.00        1.8625
  15   4 -151.00  -83.00        1.8625
  16   4 -149.00  -83.00        1.8625
  17   4 -147.00  -83.00        1.8625
  18   4 -145.00  -83.00        1.8625
  19   4 -143.00  -83.00        1.8625
  20   4 -141.00  -83.00        1.8625
  21   4 -139.00  -83.00        1.8625
  22   4 -137.00  -83.00        1.8625
  23   4 -135.00  -83.00        1.8625
  24   4 -133.00  -83.00        1.8625
  25   4 -131.00  -83.00        1.8625
  26   4 -129.00  -83.00        1.8625
  27   4 -127.00  -83.00        1.8625
  28   4 -125.00  -83.00        1.8625
  29   4 -123.00  -83.00        1.8625
  30   4 -121.00  -83.00        1.8625
  31   4 -119.00  -83.00        1.8625
  32   4 -117.00  -83.00        1.8625
  33   4 -115.00  -83.00        1.8625
  34   4 -113.00  -83.00        1.8625
  35   4 -111.00  -83.00        1.8625
  36   4 -109.00  -83.00        1.8625
  37   4 -107.00  -83.00        1.8625
  38   4 -105.00  -83.00        1.8625
  39   4 -103.00  -83.00        1.8625
  40   4 -101.00  -83.00        1.8625
  41   4  -99.00  -83.00        1.8625
  42   4  -97.00  -83.00        1.8625
  43   4  -95.00  -83.00        1.8625
  44   4  -93.00  -83.00        1.8625
  45   4  -91.00  -83.00        1.8625
  46   4  -89.00  -83.00        1.8625
  47   4  -87.00  -83.00        1.8625
  48   4  -85.00  -83.00        1.8625
  49   4  -83.00  -83.00        1.8625
  50   4  -81.00  -83.00        1.8625
  51   4  -79.00  -83.00        1.8625
  52   4  -77.00  -83.00        1.8625
  53   4  -75.00  -83.00        1.8625
  54   4  -73.00  -83.00        1.8625
  55   4  -71.00  -83.00        1.8625
  56   4  -69.00  -83.00        1.8625
  57   4  -67.00  -83.00        1.8625
  58   4  -65.00  -83.00        1.8625
  59   4  -63.00  -83.00        1.8625
  60   4  -61.00  -83.00        1.8625
  61   4  -59.00  -83.00        1.8625
  62   4  -57.00  -83.00        1.8625
